SA2_CODE,SA2_NAME_BOUNDARY,listing_count,occupied_nights,avg_occupancy,avg_availability_365,total_reviews,avg_reviews_per_listing,avg_review_score,avg_price,SA2_NAME,population,children_0_14,young_adults_20_34,older_65_plus,pct_children_0_14,pct_young_adults_20_34,pct_older_65_plus,listings_per_1000_people,occupied_nights_per_1000_people,reviews_per_1000_people
128021537,Royal National Park,8,726,90.75,189.125,488,61.0,4.855,,Royal National Park,45.0,12.0,20.0,0.0,26.666666666666668,44.44444444444444,0.0,177.77777777777777,16133.333333333332,10844.444444444445
117031644,Sydney (North) - Millers Point,596,70492,118.2751677852349,170.44127516778522,37223,62.45469798657718,4.705566037735848,,Sydney (North) - Millers Point,8913.0,426.0,3764.0,1269.0,4.779535509929317,42.23044990463368,14.2376304274655,66.86861887131157,7908.897116571301,4176.2593963873
118011340,Bondi Beach - North Bondi,863,62923,72.91193511008112,161.6129779837775,35720,41.39049826187717,4.787472972972973,,Bondi Beach - North Bondi,22528.0,2945.0,8398.0,1946.0,13.072620738636365,37.27805397727273,8.638139204545455,38.30788352272727,2793.101917613636,1585.5823863636365
122021420,Avalon - Palm Beach,485,19384,39.96701030927835,222.16082474226803,16663,34.35670103092784,4.878319327731092,,Avalon - Palm Beach,13188.0,2126.0,1585.0,3527.0,16.120715802244465,12.018501668183196,26.744009705793143,36.7758568395511,1469.8210494388838,1263.49711859266
117031329,Darlinghurst,394,42604,108.13197969543147,161.58629441624365,25138,63.80203045685279,4.730801104972375,,Darlinghurst,11411.0,531.0,4819.0,1302.0,4.65340460958724,42.23118043992638,11.410042941021821,34.528086933660504,3733.5903952326703,2202.9620541582685
117031336,Surry Hills,484,53004,109.51239669421487,150.78512396694214,30731,63.493801652892564,4.680824053452116,,Surry Hills,17099.0,900.0,7608.0,1603.0,5.263465699748523,44.49383004854085,9.374817240774314,28.30574887420317,3099.8303994385637,1797.239604655243
122011419,Manly - Fairlight,682,51201,75.07478005865103,158.1642228739003,25552,37.46627565982405,4.776727879799666,,Manly - Fairlight,24289.0,3167.0,6904.0,3739.0,13.038824159084358,28.42438964140146,15.393799662398616,28.078554077977685,2107.9912717691136,1051.9988472147886
117031333,Potts Point - Woolloomooloo,479,50752,105.95407098121086,159.53862212943633,37162,77.58246346555323,4.7260135135135135,,Potts Point - Woolloomooloo,19653.0,797.0,7334.0,3073.0,4.055360504757544,37.31745789446904,15.63628962499364,24.372869282043453,2582.4047219254057,1890.907240624841
118011339,Bondi - Tamarama - Bronte,482,33779,70.08091286307054,148.32572614107883,18794,38.99170124481328,4.792613908872902,,Bondi - Tamarama - Bronte,20003.0,2773.0,6746.0,2384.0,13.862920561915711,33.72494125881118,11.918212268159776,24.096385542168676,1688.6966954956756,939.559066140079
117031645,Sydney (South) - Haymarket,514,56988,110.8715953307393,178.75486381322958,22855,44.46498054474708,4.676971677559913,,Sydney (South) - Haymarket,23756.0,960.0,14421.0,874.0,4.041084357635966,60.70466408486277,3.679070550597744,21.636639164842567,2398.88870180165,962.0727395184374
118021651,Coogee - Clovelly,357,25016,70.07282913165267,165.07282913165267,14303,40.06442577030813,4.829313725490196,,Coogee - Clovelly,20427.0,2873.0,6650.0,2301.0,14.064718265041368,32.55495177950751,11.26450286385666,17.476868850051403,1224.6536446859548,700.2007147402946
121041416,Neutral Bay - Kirribilli,265,27104,102.27924528301887,164.00377358490567,13201,49.81509433962264,4.76276150627615,,Neutral Bay - Kirribilli,18158.0,1855.0,5449.0,3541.0,10.215882806476484,30.00881154312149,19.501046370745676,14.594118294966405,1492.6754047802622,727.0073796673643
117031646,Ultimo,141,10590,75.1063829787234,173.81560283687944,5675,40.248226950354606,4.426065573770492,,Ultimo,10044.0,469.0,6492.0,405.0,4.669454400637196,64.63560334528077,4.032258064516129,14.038231780167264,1054.3608124253285,565.0139386698526
125011710,Wentworth Point - Sydney Olympic Park,327,25433,77.77675840978593,110.96941896024465,8891,27.189602446483182,4.722103448275862,,Wentworth Point - Sydney Olympic Park,23523.0,3284.0,9344.0,1367.0,13.960804319176976,39.722824469667984,5.8113335884028405,13.901288101007525,1081.197126216894,377.9704969604217
121041417,North Sydney - Lavender Bay,188,20665,109.92021276595744,176.81382978723406,10508,55.8936170212766,4.727,,North Sydney - Lavender Bay,13541.0,1215.0,4308.0,2144.0,8.972749427664132,31.814489328705413,15.833394874824608,13.88376043128277,1526.105900598183,776.0135883612733
117031641,Pyrmont,191,18969,99.31413612565446,158.5497382198953,7450,39.00523560209424,4.686117647058824,,Pyrmont,13958.0,1143.0,5168.0,1834.0,8.188852271099012,37.02536179968477,13.139418254764292,13.68390886946554,1359.005588193151,533.7440894110904
122021422,Newport - Bilgola,180,11036,61.31111111111111,200.15555555555557,8512,47.28888888888889,4.887986111111111,,Newport - Bilgola,13846.0,2162.0,2106.0,3047.0,15.614617940199334,15.2101690018778,22.006355626173622,13.0001444460494,797.0533005922288,614.7623862487361
117031642,Redfern,197,16228,82.3756345177665,144.96446700507613,10795,54.796954314720814,4.6252808988764045,,Redfern,15359.0,1282.0,5947.0,1919.0,8.346897584478157,38.71996874796536,12.494303014519174,12.826355882544437,1056.579204375285,702.845237320138
118011345,Paddington - Moore Park,196,17346,88.5,152.78061224489795,9145,46.65816326530612,4.784010989010989,,Paddington - Moore Park,15565.0,1932.0,4919.0,2138.0,12.412463861227112,31.602955348538387,13.735946032765819,12.592354641824606,1114.4233858014777,587.5361387728879
118011650,Double Bay - Darling Point,128,8482,66.265625,185.4296875,3214,25.109375,4.770283018867924,,Double Bay - Darling Point,10248.0,1082.0,2725.0,2538.0,10.558157689305231,26.59055425448868,24.765807962529273,12.49024199843872,827.6736924277908,313.62217017954725
117031638,Camperdown - Darlington,118,10328,87.52542372881356,173.38983050847457,4950,41.94915254237288,4.746880733944954,,Camperdown - Darlington,9609.0,511.0,4845.0,530.0,5.317931106254553,50.42147986262878,5.51566239983349,12.280154022270787,1074.8256842543449,515.1420543240712
122031429,Freshwater - Brookvale,278,11827,42.5431654676259,141.63669064748203,6291,22.6294964028777,4.823516949152542,,Freshwater - Brookvale,23255.0,3906.0,5459.0,2917.0,16.796387873575576,23.47452160825629,12.543539023865835,11.954418404644164,508.57880025800904,270.52246828639005
117031331,Glebe - Forest Lodge,255,17936,70.33725490196079,174.57254901960783,10382,40.713725490196076,4.611743119266055,,Glebe - Forest Lodge,21794.0,1991.0,8218.0,2873.0,9.135541892263927,37.707625952096905,13.182527301092042,11.700468018720748,822.9788015050013,476.36964302101495
117031639,Chippendale,109,11122,102.03669724770643,155.30275229357798,6244,57.28440366972477,4.565268817204301,,Chippendale,9490.0,262.0,6187.0,304.0,2.760800842992624,65.1949420442571,3.2033719704952586,11.48577449947313,1171.9704952581665,657.9557428872498
118011341,Bondi Junction - Waverly,208,15605,75.02403846153847,156.77884615384616,7178,34.50961538461539,4.721437125748503,,Bondi Junction - Waverly,18893.0,2538.0,5697.0,2787.0,13.433546816281162,30.154025300375803,14.751495262795745,11.009368549198117,825.9672894722913,379.929074260308
117031640,Newtown (NSW),171,15560,90.99415204678363,166.33918128654972,9048,52.91228070175438,4.750065789473684,,Newtown (NSW),15548.0,1293.0,6430.0,1303.0,8.316182145613583,41.3558013892462,8.380499099562645,10.998199125289426,1000.7718034473887,581.9397993311036
117031648,Zetland,154,8308,53.94805194805195,137.5909090909091,3616,23.48051948051948,4.547844827586206,,Zetland,14313.0,1115.0,8004.0,526.0,7.790120869139942,55.92119052609515,3.674980786697408,10.759449451547544,580.451337944526,252.63746244672674
117011635,Mascot,227,14166,62.40528634361233,145.74008810572687,6869,30.259911894273127,4.6231875,,Mascot,23008.0,2586.0,10871.0,1754.0,11.239568845618916,47.24878303198887,7.623435326842837,9.866133518776078,615.6988873435328,298.548331015299
121041688,Mosman - North,139,9922,71.38129496402878,175.23021582733813,5570,40.07194244604317,4.761696428571429,,Mosman - North,14353.0,2117.0,2469.0,3383.0,14.74952971504215,17.201978680415245,23.569985368912423,9.68438653939943,691.2840521145405,388.07218003204906
118021570,Randwick - South,128,7435,58.0859375,199.3203125,5002,39.078125,4.765545454545455,,Randwick - South,13545.0,1684.0,4903.0,1663.0,12.432631967515688,36.19785898855666,12.277593207825765,9.4499815430048,548.9110372831303,369.2875599852344
128011604,Cronulla - Kurnell - Bundeena,235,20956,89.17446808510638,189.0723404255319,14471,61.57872340425532,4.859908256880734,,Cronulla - Kurnell - Bundeena,25379.0,3485.0,5465.0,5589.0,13.731825525040387,21.533551361361756,22.02214429252532,9.259624098664249,825.7220536664172,570.1958311990228
122021421,Bayview - Elanora Heights,101,3982,39.42574257425743,205.5049504950495,3982,39.42574257425743,4.842073170731707,,Bayview - Elanora Heights,11332.0,1831.0,1403.0,3030.0,16.157783268619838,12.380868337451464,26.738439816448995,8.912813272149664,351.39428168019765,351.39428168019765
118011649,Bellevue Hill,131,5016,38.29007633587786,186.06106870229007,1887,14.404580152671755,4.6705494505494505,,Bellevue Hill,15024.0,2106.0,3712.0,2821.0,14.017571884984026,24.70713525026624,18.776624068157616,8.719382321618744,333.86581469648564,125.59904153354631
118011347,Woollahra,67,3535,52.76119402985075,193.97014925373134,1856,27.70149253731343,4.743888888888889,,Woollahra,7777.0,1215.0,1870.0,1714.0,15.622990870515624,24.045261669024047,22.03934679182204,8.615147229008617,454.5454545454545,238.65243667223865
117031643,Rosebery - Beaconsfield,117,6790,58.034188034188034,132.13675213675214,2363,20.196581196581196,4.672769230769231,,Rosebery - Beaconsfield,13593.0,1475.0,5684.0,1088.0,10.851173398072538,41.81564040314868,8.004119767527405,8.607371441182963,499.52181269771205,173.8394762009858
117031330,Erskineville - Alexandria,179,12886,71.98882681564245,156.24581005586592,8539,47.70391061452514,4.7655625,,Erskineville - Alexandria,21139.0,2353.0,7777.0,1334.0,11.131084724916033,36.78981976441648,6.310610719523156,8.46776101045461,609.5841808978665,403.9453143478878
117031647,Waterloo,153,10345,67.61437908496733,131.90196078431373,3660,23.92156862745098,4.732100840336135,,Waterloo,18291.0,1344.0,8445.0,1815.0,7.347876004592423,46.17024766278497,9.922912907987534,8.36476955879941,565.5786999070581,200.09840905363293
115021298,Galston - Laughtondale,44,2907,66.06818181818181,284.97727272727275,1842,41.86363636363637,4.88578947368421,,Galston - Laughtondale,5482.0,891.0,784.0,1386.0,16.253192265596496,14.301349872309377,25.28274352426122,8.026267785479753,530.2809193724918,336.00875592849326
122031697,Narrabeen - Wheeler Heights,90,3555,39.5,194.36666666666667,2354,26.155555555555555,4.851917808219178,,Narrabeen - Wheeler Heights,11215.0,1650.0,2047.0,2778.0,14.712438698172093,18.252340615247437,24.770396790013375,8.024966562639323,316.9861792242532,209.89745876058848
118011346,Rose Bay - Vaucluse - Watsons Bay,95,5058,53.242105263157896,170.92631578947368,2016,21.221052631578946,4.84953125,,Rose Bay - Vaucluse - Watsons Bay,11857.0,1898.0,1993.0,2633.0,16.007421776165977,16.8086362486295,22.206291642067978,8.012144724635236,426.5834528126845,170.02614489331197
120021387,Balmain,126,11091,88.02380952380952,150.0873015873016,6836,54.25396825396825,4.775042735042734,,Balmain,15979.0,2432.0,2773.0,2975.0,15.219976218787156,17.35402716064835,18.61818636961011,7.885349521246636,694.0985042868765,427.8115025971588
120021674,Annandale (NSW),77,8460,109.87012987012987,150.8181818181818,5824,75.63636363636364,4.813661971830986,,Annandale (NSW),9933.0,1515.0,2534.0,1314.0,15.252189670794323,25.510923185341788,13.228631833282996,7.751937984496124,851.706433101782,586.3284002818887
122031694,Dee Why (South) - North Curl Curl,67,4102,61.223880597014926,138.26865671641792,2863,42.73134328358209,4.892931034482759,,Dee Why (South) - North Curl Curl,9396.0,1568.0,2026.0,1283.0,16.68795232013623,21.562366964665816,13.654746700723713,7.130693912303108,436.56875266070665,304.7041294167731
121041689,Mosman - South,103,5671,55.05825242718446,193.64077669902912,2614,25.37864077669903,4.774202898550725,,Mosman - South,14900.0,2305.0,2643.0,3016.0,15.46979865771812,17.738255033557046,20.241610738255034,6.912751677852349,380.6040268456376,175.43624161073825
121011684,Chatswood - East,146,11344,77.6986301369863,145.41780821917808,3704,25.36986301369863,4.660078740157481,,Chatswood - East,21456.0,3086.0,6190.0,3001.0,14.382923191648022,28.84973900074571,13.98676360924683,6.804623415361671,528.7099179716629,172.6323639075317
122011418,Balgowlah - Clontarf - Seaforth,142,5882,41.42253521126761,135.82394366197184,2995,21.091549295774648,4.845809523809524,,Balgowlah - Clontarf - Seaforth,20884.0,4146.0,2995.0,3348.0,19.852518674583415,14.341122390346678,16.031411606971844,6.799463704271212,281.6510247079104,143.41122390346678
121041413,Cremorne - Cammeray,129,8895,68.95348837209302,192.12403100775194,4105,31.82170542635659,4.716788990825688,,Cremorne - Cammeray,19669.0,2889.0,4351.0,3736.0,14.688087853983426,22.12110427576389,18.99435660175911,6.558543901571,452.23448065483757,208.70405206161982
118021567,Maroubra - South,75,3665,48.86666666666667,156.26666666666668,1421,18.946666666666665,4.776101694915255,,Maroubra - South,11546.0,1815.0,2557.0,2072.0,15.719729776545991,22.146197817425946,17.945608868872338,6.495756106010739,317.42594838039145,123.07292568855014
120011673,Rhodes,79,4999,63.278481012658226,106.0,1683,21.303797468354432,4.763181818181819,,Rhodes,12518.0,1272.0,5870.0,850.0,10.161367630611918,46.89247483623582,6.790222080204505,6.310912286307717,399.34494328167443,134.44639718804922
117021328,Sydenham - Tempe - St Peters,55,6433,116.96363636363637,156.16363636363636,3706,67.38181818181818,4.770566037735849,,Sydenham - Tempe - St Peters,8844.0,1294.0,2428.0,911.0,14.631388511985527,27.45364088647671,10.300768882858435,6.218905472636816,727.3857982813207,419.041157847128
125041717,Parramatta - North,84,6620,78.80952380952381,155.0,2040,24.285714285714285,4.709583333333333,,Parramatta - North,14413.0,1985.0,6693.0,667.0,13.772288905848887,46.43724415458267,4.627766599597585,5.828071879553181,459.3075695552626,141.5388885034344
121011401,St Leonards - Naremburn,78,8167,104.7051282051282,170.34615384615384,2747,35.217948717948715,4.696417910447762,,St Leonards - Naremburn,13483.0,1893.0,3854.0,1495.0,14.039902098939406,28.584142994882445,11.088036787065194,5.785062671512275,605.7257286953942,203.7380404954387
126021500,Macquarie Park - Marsfield,157,8057,51.318471337579616,189.98726114649682,2881,18.35031847133758,4.703220338983051,,Macquarie Park - Marsfield,28025.0,3286.0,11247.0,3330.0,11.725245316681535,40.132024977698485,11.882247992863515,5.602140945584299,287.49330954504904,102.80107047279215
